	First Name	Last Name	Date	Start Time	End Time	Pseudonym	FORMAT	TITLE	DATE(S)	Day
	Lindy	McDonough	10/26/13	10:00a	12:00p		Office Hours	Lindy Mcdonough on {Fill on Media/Theme}	SAT 10/26/13, 10am-12pm	Saturday
	Kipp	Bradford	10/27/13	12:00pm			Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	SUN 10/27/13, 12pm	Sunday
	Lauren	Kalman	10/27/13	12:00pm			Assembled 	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	SUN 10/27/13, 12pm	Sunday
	Viera	Levitt	10/29/13	10:00a	12:00p		Office Hours	Viera Levitt on {Fill in Media/Theme}	TUES, 10/29/13, 10am-12pm	Tuesday
	Walker	Mettling	10/31/13	12:00p	5:00p		Artist Lab	Walker Mettling: Come Build a Scary Carcass	THU 10/31/13 12-5pm	Thursday
	Walker	Mettling	10/31/13	7:00p	8:30p		Curator, Assembly + Artist Lab	Night of Terrifying Stories III curated by Walker Mettling	THURS 10/31/13, 7-8:30p	Thursday
	Rebecca	Siemering	11/1/13	10:00a	12:00p		Office Hours	Rebecca Siemering on {Fill in Media/Theme}	FRI, 11/1/13, 10am-12pm	Friday 
	Shawn	Greenlee	11/1/13	2:00a	4:00p		Office Hours	Shawn Greenlee on sound art: audio programming, graphic synthesis, and instrumental bricolage	FRI 11/1/13, 2-4 pm	Friday 
	Lara	Henderson	11/2/13	2:00p	3:00p		Demo + Discourse	Lara Henderson on Book Arts	SAT 11/2/13, 2-3 pm	Saturday
	Shey	Rivera	11/2/13	10:00a	12:00p		Office Hours	Shey Rivera on {Fill in Media/Theme}	SAT 11/2/13, 10am-12pm	Saturday
	Jenine	Bressner	11/3/13	2:00p	4:00p		Artist Lab	Jenine Bressner: YOUR VOICE SHOULD BE SEEN	SUN 11/3/13, 2-4 pm	Sunday
	John	Smith	11/3/13	10:00a	12:00p		Office Hours	John Smith on what's next at the RISD museum	SUN 11/3/13, 10am-12pm	Sunday
1	J.R.	Uretsky					Spotlight		THUR 7/18, 6:30-7:15 pm ; SAT 7/27, 2-3 pm	
1 b	Maralie	Armstrong				Humanbeast	Spotlight		THUR 7/15, 4-8 pm; SAT 7/17, 3-4 pm	
1 c	Eli	Milhollan				Humanbeast	Spotlight			
	Franny	Choi					Spotlight		THUR 9/19, 6:30-8 pm; SAT 9/21, 2-3 pm	
	Laura	Brown-Lavoie					Spotlight with Franny			
	Paul	Tran					Spotlight with Franny			
	Peter	Glantz					Spotlight		THUR 10/17, 7-8 pm; SAT 10/19, 2-3 pm	
										
										
	Micah	Salkind					Curator, Assembly	The Re-sounding City curated by Micah Salkind	wk of July 23rd 	
	Jori	Ketten					Curator, Assembly	Inside Voices curated by Jori Ketten	Wk of July 30th	
	Jacob	Berendes					Curator, Assembly	Non-Fine Arts curated by Jacob Berendes	wk of Aug 5	
	Kate	Schapira					Curator, Assembly	Choose Your Words: Poetry and Prose curated by Kate Schapira	Wk Aug 13	
	Liza	Burkin					Curator, Assembly	Palate: Taste by Design curated by Liza Burkin	wk of Aug 20	
	Willa	VanNostrand					Curator, Assembly	Performance curated by Willa Van Nostrand	Wk of Aug 26	
	Meg	Sullivan					Curator, Assembly	Story-lines, solo performances curated by Meg Sullivan	wk of Sep 3	
	Melissa	Withers					Curator, Assembly	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	wk of Sept 10	
	Allan	Tear					Curator, Assembly	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear		
	Allison	Cole					Curator, Assembly	Applied Illustration: Handmade, Pattern, and Product	SAT 9/14/13 afternoon	
$										
										
										
										
	Christopher	Johnson					Curator, Assembly	Entropy. Poetry set to music 	Wk of Sept. 17	
	Patricia	Phillips					Curator, Assembly	Creative Vernacularism curated by Patti Phillips	wk of Sept 24	
										
										
										
										
										
										
	Marlon	Carey					Curator, Assembly	Poetry For Thought curated by Marlon Carey	Wk of Oct 1	
1	Kristen	Rhea van Liew				Kristen Minsky	Curator, Assembly	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	wk of Oct 8	
1 b	Tom	West					Curator, Assembly	BE GOOD, WORK HARD, DO STUFF curated by Tom West	wk of Oct. 15	
	Tom	West					Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West	TUES	
	Dave	Allyn					Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West		
	Nidal	Fakhouri					Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West		
	Greg	Pennisten					Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West		
	Curtis	Aric					Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West		
	Kevin	Veronneau					Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West		
	Kipp	Bradford					Curator, Assembly	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	 wk of Oct 22nd and all day 27	
	Reba	Mitchell					Curator, Assembly		wk of Oct. 29	
										
										
										
										
										
										
$1 	Priscilla	Carrion					Assembled	Night of Terrifying Stories III curated by Walker Mettling		
$1b	Mimi	Chrzanowski					Assembled	Night of Terrifying Stories III curated by Walker Mettling		
$	Cathy G. 	Johnson					Assembled	Night of Terrifying Stories III curated by Walker Mettling		
	Ben	Nadler					Assembled	Night of Terrifying Stories III curated by Walker Mettling		
	Alison	Rutsch					Assembled	Night of Terrifying Stories III curated by Walker Mettling		
		Kids from the Providence Comics Consortium					Assembled	Night of Terrifying Stories III curated by Walker Mettling		
										
	Jeff	Drury								
	Kara	Dziobek								
	Deb	Meisel								
	Lindsey	Messervy								
										
										
	Jeff	Drury								
	Kara	Dziobek								
	Deb	Meisel								
	Lindsey	Messervy								
										
										
	Meredith	Younger					Office Hours		SAT, 9/28/13, 10am-12pm	
	Antoine	Revoy					Office Hours		THUR, 9/12/13, 2-4 pm	
	Alison	Paul					Office Hours		THUR, 9/26/13, 2-4 pm	
	Luke	Boggia					Office Hours		THUR, 9/19/13, 2-4 pm	
combo	Ilira	Steinman					Office Hours		THUR, 10/3/13, 2-4 pm	
	Jason	Thompson					Office Hours		THUR, 10/3/13, 2-4 pm	
combo	Ariel	Bordeaux					Office Hours		SUN, 9/14/13, 1-4pm	
	Rick	Altergott					Office Hours		SUN, 9/14/13, 1-4pm	
