	Last Name	First Name	Pseudonym	FORMAT	TITLE	DATE(S)	Date	Day	Start Time	End Time	Location
1 b	Hancock-Brainerd	Jed	Strange Attractor	Office Hours	Jed Hancock-Brainerd, Rebecca Noon + Jeremy Radtke on theatrical space design 	FRI 7/19/13, 12-2 pm	7/19/13	Friday	12:00p	2:00p	Lower Farago Gallery
1 c	Radtke	Jeremy	Strange Attractor	Office Hours	Jed Hancock-Brainerd, Rebecca Noon + Jeremy Radtke on theatrical space design 	FRI 7/19/13, 12-2 pm	7/19/13	Friday	12:00p	2:00p	Lower Farago Gallery
	Johns-Yu	Jenna		Office Hours	Jenna Johns-Yu on bicycles	SAT 7/20/13, 2-4 pm	7/20/13	Saturday	2:00p	4:00p	Lower Farago Gallery
	Talbot 	Dan		Office Hours	Dan Talbot on plein air painting	SUN 7/21/13, 2-4 pm	7/21/13	Sunday	2:00p 	4:00p	Lower Farago Gallery
	Perez	Lisa		Office Hours	Lisa Perez on Time Share: Create Space	SAT 8/3/13, 2-4 pm 	8/3/13	Saturday	2:00p	4:00p	Lower Farago Gallery
	Sawyer	Philip		Office Hours	Philip Sawyer on bespoke apparel design and tailoring	SUN 8/4/13, 2:00-4:00 pm	8/4/13	Sunday	2:00p	4:00p	Lower Farago Gallery
$	Roelle	C.W.		Office Hours $	C.W. Roelle on wire drawing	FRI 8/9/13, 2-4 pm	8/9/13	Friday	2:00p	4:00p	Lower Farago Gallery
	Colinan	Jill		Office Hours	Jill Colinan on mixed media sculpture	FRI 8/16/13, 2-4 pm	8/16/13	Friday	2:00p	4:00p	Lower Farago Gallery
	Dadekian	David		Office Hours	David Dadekian on food 	THUR 8/22/13, 2-4 pm	8/22/13	Thursday	2:00p	4:00p	Lower Farago Gallery
	Steeves	Rocky		Office Hours	Rocky Steeves on agriculture 	FRI 8/23/13, 2-4 pm	8/23/13	Friday	2:00p	4:00p	Lower Farago Gallery
	Yanishevsky	Tatyana 		Office Hours	Tatyana Yanishevsky on knitted sculpture, resin casting	SAT 8/24/13, 2-4 pm	8/24/13	Saturday	2:00p	4:00p	Lower Farago Gallery
	Hastings	Buck		Office Hours	Buck Hastings on color	SUN 8/25/13, 2-4 pm	8/25/13	Sunday	2:00p	4:00p	Lower Farago Gallery
	Segal	Joseph		Office Hours	Joe Segal on New Wonder of the World	FRI 8/30/13, 2-4 pm	8/30/13	Friday	2:00p	4:00p	Lower Farago Gallery
	Costello	Christine		Office Hours	{Names of Individuals} on Experience Labs	THURS 9/5/13, 10am-12pm	9/5/13	Thursday	10:00a	12:00p	Lower Farago Gallery
	Drury	Jeff									
	Dziobek	Kara									
	Meisel	Deb									
	Messervy	Lindsey									
$	Rawley	Bill		Office Hours	Bill Rawley on {Fill in Media/Theme/Title}	THUR 9/5/13, 6-8pm	9/5/13	Thursday	6:00p	8:00p	Lower Farago Gallery
	Marcus	Peter		Office Hours	Peter Marcus on {Fill in Media/Theme/Title}	FRI 9/6/13, 10am-12pm	9/6/13	Friday	10:00a	12:00p	Lower Farago Gallery
	Cassino	Jo-Anna		Office Hours	Jo-Anna Cassino on {Fill in Media/Theme/Title}	SUN 9/8/13, 10 am-12 pm	9/8/13	Sunday	10:00a	12:00p	Lower Farago Gallery
	Ewald	Holly		Office hours 	Holly Ewald on engaging with place, in particular Mashapaug Pond	SUN 9/8, 2-4 pm	9/8/13	Sunday	2:00p	4:00p	Lower Farago Gallery
	Oliveira	Dawn		Office Hours	Dawn Oliveira on Design-Print-Sew / Green  Textiles For Home & Apparel	THUR 9/12/13, 10am-12pm	9/12/13	Thursday 	10:00a	12:00p	Lower Farago Gallery
	Revoy	Antoine		Office Hours		THUR, 9/12/13, 2-4 pm					Lower Farago Gallery
	Redfearn	Alec K. 		Office Hours	Alec Redfearn on {Fill in Theme/Media}	THUR 9/12/13, 6-8 pm	9/12/13	Thursday	6:00p	8:00p	Lower Farago Gallery
	Highsmith	Anna Galloway		Office Hours	Anna Galloway Highsmith on Hand Built Ceramics	FRI 9/13/13, 2-4 pm	9/13/13	Friday	2:00p	4:00p	Lower Farago Gallery
	Ellison	David		Office Hours	David Ellison on {Fill in Theme/Media}	SAT 9/14/13, 10-12	9/14/13	Saturday	10:00a	12:00p	Lower Farago Gallery
	Lubar	Steve		Office Hours	Steve Lubar on visualizing the past	WED 9/18/13, 10:30am-12pm	9/18/13	Wednesday	10:30a	12:00p	Lower Farago Gallery
	Goldberg	Brian 		Office Hours	Brian Goldberg on maitenance and repair	THUR 9/19/13, 10:30am-12pm	9/19/13	Thursday	10:30a	12:00p	Lower Farago Gallery
	Walsh	Neal		Office Hours	Neal Walsh on {Fill in Theme/Media}	FRI 9/20/13, 10am-12pm	9/20/13	Friday	10:00a	12:00p	Lower Farago Gallery
	Brandon	Beth		Office Hours	Beth Brandon on patterns 	FRI 9/20/13, 2-4 pm	9/20/13	Friday	2:00p	4:00p	Lower Farago Gallery
	Quinonez	Angel		Office Hours	Angel Quinonez on {Fill in Theme/Media}	SAT 9/21/13, 10am-12pm	9/21/13	Saturday	10:00a	12:00p	Lower Farago Gallery
1	Townsend	Michael	Tape Art	Office Hours 		SUN 9/22/13, 2-4 pm	9/22/13	Sunday	2:00p	4:00p	Lower Farago Gallery
1 b	Bliss	Colin	Tape Art	Office Hours	Colin Bliss on {Fill in Theme/Media}	SUN 9/22/13, 2-4 pm	9/22/13	Sunday	2:00p	4:00p	Lower Farago Gallery
	Baruch	Jay		Office Hours	Jay Baruch on Creativity as a Medical Instrument	TUES 9/24/13, 10am-12pm	9/24/13	Tuesday	10:00a	12:00p	Lower Farago Gallery
	Paul	Alison		Office Hours	Alison Paul on {Fill in Media/Theme}	Wed, 9/25/13, 10 am-12 pm					Lower Farago Gallery
	Ruth	Sebastian		Office Hours	Sebastian Ruth on {Fill in Media/Theme} 	THUR 9/26/13, 10:30am-12pm	9/26/13	Thursday 	10:30a	12:00p	Lower Farago Gallery
	Younger	Meredith		Office Hours	Meredith Younger on {Fill in Theme/Media}	SAT, 9/28/13, 10am-12pm					Lower Farago Gallery
	Torres	Simon Spruce		Office Hours	Simon Spruce Torres on Drawing from the Grid	SUN 9/29/13, 2-4 pm	9/29/13	Sunday	2:00p	4:00p	Lower Farago Gallery
	Keithline	Elizabeth		Office Hours	Liz Keithlineon {Fill in Theme/Media}	TUE 10/1/13, 10am-12pm	10/1/13	Tuesday	10:00a	12:00p	Lower Farago Gallery
	Fishman	Richard		Office Hours	Richard Fishman on {Fill in Media/Theme} 	TUE 10/1/13, 2-4 pm	10/1/13	Tuesday	2:00p	4:00p	Lower Farago Gallery
	Corace	Jen		Office Hours	Jen Corace on {Fill in Media/Theme}	WED 10/2/13, 10am-12pm	10/2/13	Wednesday	10:00a	12:00p	Lower Farago Gallery
	Myoda	Paul		Office Hours	Paul Myoda on physical computing 	THUR 10/3/13, 10am-12pm	10/3/13	Thursday 	10:00a	12:00p	Lower Farago Gallery
	Bordeaux	Ariel		Office Hours		THUR 10/3/13, 2-4 pm					
	Powers	Pike		Office Hours 	Pike Powers on {Fill in Media/Theme}	FRI 10/4/13, 2-4 pm	10/4/13	Friday 	2:00p	4:00p	Lower Farago Gallery
	Altergott	Rick		Office Hours		SAT, 10/5/13, 10am-12pm					
	Michalowska	Agata		Office Hours	Agata Michalowska on taking time	SAT 10/5/13, 2-4 pm	10/5/13	Saturday	2:00p	4:00p	Lower Farago Gallery
	France	Anna Kaziunas		Office Hours 	Anna Kaziunas France on {Fill in Media/Theme}	SUN 10/6/13, 10am-12pm	10/6/13	Sunday	10:00a	12:00p	Lower Farago Gallery
	Pavlik	Bob		Office Hours	Bob Pavlik on The Architecture Garage: the ultimate set of tools	SUN 10/6/13, 2:30-4:30pm	10/6/13	Sunday	2:30a	4:30a	Lower Farago Gallery
	Gedarovich	Phil 		Office Hours	Phil Gedarovich on Projection Mapping	TUES 10/8/13, 2-4 pm	10/8/13	Tuesday	2:00p	4:00p	Lower Farago Gallery
	Nichols	Khipra J. 		Office Hours	 Khipra Nichols on The Art of Invention	WED 10/9/13, 10am-12pm	10/9/13	Wednesday	10:00a	12:00p	Lower Farago Gallery
$1 	Torosone	Arley-Rose		Office Hours 	Arley-Rose Torsone and Morgan Calderini  on Designing for Letterpress	THUR 10/10/13, 2-4 pm	10/10/13	Thursday 	2:00p	4:00p	Lower Farago Gallery
$1b	Calderini	Morgan		Office Hours	Arley-Rose Torsone and Morgan Calderini  on Designing for Letterpress	THUR 10/10/13, 2-4 pm	10/10/13	Thursday 	2:00p	4:00p	Lower Farago Gallery
$	Wyand	Joan 		Office Hours $	Joan Wyand on Costume and Collaboration	THUR 10/10/13, 6-8 pm	10/10/13	Thursday 	6:00p	8:00p	Lower Farago Gallery
	Bailey	Scot		Office Hours	Scot Bailey on {Fill in Theme/Media}	SAT 10/12/13, 10am-12pm	10/12/13	Saturday 	10:00a	12:00p	Lower Farago Gallery
	Lavoie	Ingrid		Office Hours	Ingrid Lavoie on paper snitting	SUN 10/13/13, 10am-12pm	10/13/13	Sunday	10:00a	12:00p	Lower Farago Gallery
	Tolnick Champa	Judith		Office Hours	Judith Tolnick Champa on Making a Magazine	WED 10/16/13, 10am-12pm	10/16/13	Wednesday	10:00a	12:00p	Lower Farago Gallery
	Derby	Matthew		Office Hours	Matthew Derby on dynamic serialization	THUR 10/17/13, 10am-12pm	10/17/13	Thursday 	10:00a	12:00p	Lower Farago Gallery
	Crump	Peter		Office Hours	Peter Crump on XXX	FRI 10/18/13, 2-4 pm	10/18/13	Friday 	2:00p	4:00p	Lower Farago Gallery
	Schapiro	Roberta		Office Hours	Roberta Schapiro on {Fill on Media/Theme}	SAT, 10/19/13, 10am-12pm	10/19/13	Saturday	10:00a	12:00p	Lower Farago Gallery
	Boggia	Luke		Office Hours	Luke Boggia on {Fill in Media/Theme}	WED, 10/23/13, 10 am-12 pm					Lower Farago Gallery
	Overstrom	Neal		Office Hours	Neal Overstrom on {Fill in Media/Theme}	THUR 10/24/13, 10am-12pm	10/24/13	Thursday 	10:00a	12:00p	Lower Farago Gallery
	Benson	Nick		Office Hours	Nick Benson oletter-carving in the 21st century	FRI 10/25/13, 2-4 pm	10/25/13	Friday 	2:00p	4:00p	Lower Farago Gallery
	McDonough	Lindy		Office Hours	Lindy Mcdonough on {Fill on Media/Theme}	SAT 10/26/13, 10am-12pm	10/26/13	Saturday	10:00a	12:00p	Lower Farago Gallery
	Levitt	Viera		Office Hours	Viera Levitt on {Fill in Media/Theme}	TUES, 10/29/13, 10am-12pm	10/29/13	Tuesday	10:00a	12:00p	Lower Farago Gallery
	Cole	Allison		Office Hours	Allison Cole on on Surface Design and Illustration	TUES, 10/29/13, 2pm-4pm	10/23/13	Tuesday	2:00p	4:00p	Lower Farago Gallery
	Siemering	Rebecca		Office Hours	Rebecca Siemering on the refined benefits of paper	FRI, 11/1/13, 10am-12pm	11/1/13	Friday 	10:00a	12:00p	Lower Farago Gallery
	Greenlee	Shawn		Office Hours	Shawn Greenlee on sound art: audio programming, graphic synthesis, and instrumental bricolage	FRI 11/1/13, 2-4 pm	11/1/13	Friday 	2:00a	4:00p	Lower Farago Gallery
	Rivera	Shey		Office Hours	Shey Rivera on {Fill in Media/Theme}	SAT 11/2/13, 10am-12pm	11/2/13	Saturday	10:00a	12:00p	Lower Farago Gallery
	Smith	John		Office Hours	John Smith on what's next at the RISD museum	SUN 11/3/13, 10am-12pm	11/3/13	Sunday	10:00a	12:00p	Lower Farago Gallery
